WKT,highway,name,oneway,lanes,maxspeed,service,ref,turn:lanes,surface,foot,bicycle,horse,maxspeed:type,access,segregated,lanes:backward,lanes:forward,junction,crossing,crossing_ref,cycleway,route,route_name,route_pref_color,lit,turn:lanes:backward,turn:lanes:forward
"LINESTRING (-1.6841177 53.8060129,-1.6840744 53.8061283,-1.6840781 53.8061853,-1.6841207 53.8063751)",trunk,,yes,1,60 mph,,A6120,,,,,,UK:nsl_single,,,,,,,,,,,,,,
"LINESTRING (-1.683463 53.8058294,-1.6835111 53.8057879,-1.6835723 53.805755,-1.6836722 53.8057251,-1.6837831 53.8057148,-1.6838828 53.805723,-1.6839424 53.8057366)",trunk,Dawsons Corner,yes,3,40 mph,,,through|through|right,,,,,,,,,,roundabout,,,,,,,,,
"LINESTRING (-1.6839424 53.8057366,-1.6840532 53.8057862,-1.6841119 53.8058392,-1.6841346 53.8058778,-1.6841437 53.8059451,-1.6841336 53.8059811)",trunk,Dawsons Corner,yes,2,40 mph,,,through|right,,,,,,,,,,roundabout,,,,,,,,,
"LINESTRING (-1.6834263 53.8054569,-1.6836161 53.8055424,-1.6838238 53.8056069,-1.6839328 53.8056268,-1.6841185 53.8056608,-1.6843259 53.8056805,-1.6846839 53.8056668)",trunk,,yes,1,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6839424 53.8057366,-1.6840932 53.8057325,-1.6842374 53.8057274,-1.6844736 53.8057094,-1.6846839 53.8056668)",trunk,Bradford Road,yes,2,40 mph,,A647,,asphalt,yes,yes,yes,,,,,,,,,,,,,,,
"LINESTRING (-1.6847836 53.8057722,-1.6844421 53.8058381,-1.6843511 53.805874,-1.684263 53.8059087,-1.6841336 53.8059811)",trunk,Bradford Road,yes,4,40 mph,,A647,left|through|right|right,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6929769 53.80459,-1.6932118 53.8052078,-1.6933224 53.8054597,-1.6935847 53.806124,-1.6938388 53.8067838,-1.6940162 53.8071903,-1.6941092 53.807405,-1.6941945 53.8076636,-1.6942667 53.8078341,-1.6944782 53.8083898,-1.6945811 53.8086335,-1.6947318 53.8089559,-1.6950501 53.8095373,-1.6951015 53.8096393,-1.695305 53.8100108,-1.6954883 53.8103407,-1.6956389 53.8106811,-1.6956756 53.8108908,-1.6956622 53.8111114,-1.6956415 53.8113401,-1.6955852 53.811744,-1.6955725 53.8119499,-1.6955879 53.8121272,-1.6956469 53.8123252,-1.695714 53.8125184,-1.695891 53.8128446,-1.6960546 53.8131693,-1.6964355 53.813836,-1.6965294 53.8140735,-1.696583 53.8142145)",tertiary,Woodhall Lane,,,40 mph,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7204917 53.8065868,-1.7203356 53.8065105,-1.7201449 53.8064439,-1.7199079 53.8063667,-1.7191851 53.806213,-1.7189446 53.8061731,-1.7182045 53.8060512,-1.7180764 53.8060301,-1.7172491 53.8058937,-1.7147289 53.8054832,-1.7137364 53.8053173,-1.7123562 53.8050942,-1.7116747 53.8049833,-1.7097945 53.8046702,-1.7092558 53.8045744,-1.708741 53.8044827,-1.7081643 53.8043852,-1.7074512 53.8042315,-1.7067172 53.8040409,-1.7066082 53.8040104,-1.7065584 53.8039946,-1.7062115 53.8038843,-1.7058532 53.8037704,-1.7055087 53.8036616,-1.704879 53.8034688,-1.7039272 53.803179,-1.7033585 53.8030025,-1.7018556 53.802561,-1.7016024 53.8024913,-1.701481 53.8024529,-1.7013968 53.8024262)",tertiary,Gain Lane,,,30 mph,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6957829 53.8036543,-1.6945191 53.8039231,-1.6933075 53.8041469,-1.6932199 53.8041633,-1.6928803 53.8042288,-1.692579 53.8042951,-1.6924773 53.8043125,-1.6921373 53.8043856,-1.6903107 53.804731,-1.6897212 53.8048507,-1.6887417 53.8050477,-1.688051 53.8051865,-1.687819 53.8052331,-1.6870685 53.8053691,-1.6867702 53.8054231,-1.6857702 53.8056321,-1.685659 53.8056528,-1.6849356 53.8057874,-1.6846406 53.8058555,-1.6844327 53.8059335)",path,,yes,,,,,,,designated,designated,,,,yes,,,,,,,,,,,,
"LINESTRING (-1.6838949 53.8056686,-1.6839328 53.8056268,-1.6839579 53.8055882,-1.6843817 53.8056389,-1.6848229 53.8055815,-1.6862526 53.8053043,-1.6873419 53.8050841,-1.6875615 53.8050446,-1.6877313 53.8050112,-1.688366 53.8048862,-1.6888449 53.8047994,-1.6910872 53.8043654,-1.6918477 53.8042257,-1.6921616 53.804161,-1.6923665 53.8041187,-1.6924671 53.8040937,-1.6931393 53.8039888,-1.6932704 53.8039535,-1.693406 53.803917,-1.6949899 53.8035772,-1.6967452 53.80321,-1.6970845 53.8031411)",path,,yes,,,,,,,designated,designated,,,,yes,,,,,,,,,,,,
"LINESTRING (-1.6929769 53.80459,-1.6928571 53.8044189,-1.6927548 53.8043518)",tertiary,,yes,2,,,,"left;through|through;right",,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6927548 53.8043518,-1.6926095 53.8043106,-1.692579 53.8042951,-1.6925402 53.8042586)",trunk,Bradford Road,yes,2,40 mph,,,"left;through|through;right",,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6932243 53.8041277,-1.6925402 53.8042586)",trunk,Bradford Road,yes,3,40 mph,,A647,through|through|through,asphalt,no,yes,yes,,,,,,,,,,,,,,,
"LINESTRING (-1.6931526 53.8042654,-1.6929769 53.80459)",tertiary,,yes,2,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6931526 53.8042654,-1.6930503 53.8043223,-1.6929172 53.8043538,-1.6927548 53.8043518)",trunk,Bradford Road,yes,2,40 mph,,,"left;through|through;right",,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6932243 53.8041277,-1.6932199 53.8041633,-1.6932177 53.8041795,-1.6931526 53.8042654)",trunk,Bradford Road,yes,2,40 mph,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6924629 53.8041519,-1.6931764 53.8040207)",trunk,Bradford Road,yes,3,40 mph,,A647,through|through|through,asphalt,no,yes,yes,,,,,,,,,,,,,,,
"LINESTRING (-1.6924965 53.8040378,-1.6925893 53.8039637,-1.6927048 53.8039218,-1.6928452 53.8039064)",trunk,Bradford Road,yes,2,40 mph,,,"left;through|through;right",,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6931764 53.8040207,-1.6931904 53.8040368,-1.6932222 53.8040994,-1.6932243 53.8041277)",trunk,Bradford Road,yes,2,40 mph,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6928452 53.8039064,-1.6929779 53.8039207,-1.6930448 53.8039401,-1.6931393 53.8039888,-1.6931764 53.8040207)",trunk,Bradford Road,yes,2,40 mph,,,"left;through|through;right",,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6924238 53.8037172,-1.6925591 53.8038187,-1.6926375 53.8038622,-1.6928452 53.8039064)",secondary,Galloway Lane,yes,2,,,B6154,"through|through;right",,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6924238 53.8037172,-1.6925798 53.8037653,-1.69276 53.8038209,-1.6930939 53.8038817,-1.6932907 53.8039169,-1.693406 53.803917,-1.6934518 53.8039171,-1.6935137 53.8039119,-1.6938258 53.8038859)",secondary_link,Galloway Lane,yes,1,,,B6154,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6931764 53.8040207,-1.6934712 53.8039577)",trunk,Bradford Road,yes,3,40 mph,,A647,through|through|through,asphalt,no,yes,yes,,,,,,,,,,,,,,,
"LINESTRING (-1.695186 53.8037408,-1.6934854 53.8040739,-1.6932243 53.8041277)",trunk,Bradford Road,yes,3,40 mph,,A647,"left;through|through|through",asphalt,no,yes,yes,,,,,,,,,,,,,,,
"LINESTRING (-1.6934712 53.8039577,-1.6938258 53.8038859,-1.6950258 53.8036381,-1.695719 53.8034954)",trunk,Bradford Road,yes,3,40 mph,,A647,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6964566 53.802707,-1.6947185 53.8030492,-1.693583 53.8032738,-1.6935377 53.803278,-1.6934903 53.8032763,-1.6934571 53.8032623,-1.6929094 53.8027496)",residential,Calverley Moor Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6973324 53.8033365,-1.6957829 53.8036543)",path,,yes,,,,,,,designated,designated,,,,yes,,,,,,,,,,,,
"LINESTRING (-1.695719 53.8034954,-1.6967827 53.8032754,-1.6971217 53.8032074)",trunk,Bradford Road,yes,3,40 mph,,A647,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6989718 53.8029372,-1.6972963 53.8032888,-1.695186 53.8037408)",trunk,Bradford Road,yes,3,40 mph,,A647,,asphalt,no,yes,yes,,,,,,,,,,,,,,,
"LINESTRING (-1.6929094 53.8027496,-1.6924852 53.8023032,-1.6939076 53.8020081)",residential,Moorland Drive,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.69168 53.8029974,-1.6929094 53.8027496,-1.6944024 53.8024414,-1.6956543 53.802183,-1.6957598 53.8021737,-1.6958939 53.8021785,-1.6960012 53.8021983,-1.6960843 53.8022269,-1.6961715 53.8022719,-1.6962411 53.8023308,-1.6964566 53.802707,-1.6967452 53.80321,-1.6967827 53.8032754)",residential,Moorland Road,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6944024 53.8024414,-1.6939076 53.8020081,-1.6938612 53.8019621,-1.6931537 53.8013433)",residential,Moorland Grove,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6960843 53.8022269,-1.6964908 53.8018358)",residential,Moorland Crescent,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6971217 53.8032074,-1.69721 53.8031903,-1.6977891 53.8030703,-1.6984701 53.802925,-1.699712 53.8026642)",trunk,Bradford Road,yes,3,40 mph,,A647,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6970845 53.8031411,-1.697306 53.8030947,-1.6984277 53.8028506,-1.6996992 53.8025911)",path,,yes,,,,,,,designated,designated,,,,yes,,,,,,,,,,,,
"LINESTRING (-1.7011656 53.8025573,-1.7010195 53.8025739,-1.7005353 53.8026702,-1.6988536 53.8030218,-1.6973324 53.8033365)",path,,yes,,,,,,,designated,designated,,,,yes,,,,,,,,,,,,
"LINESTRING (-1.7014026 53.8031424,-1.7006587 53.8033497)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7011355 53.8024831,-1.7011656 53.8025573,-1.7013835 53.8030951,-1.7014026 53.8031424,-1.7021587 53.8050184,-1.7024201 53.8057362)",residential,Sunnybank Lane,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7013835 53.8030951,-1.7034568 53.8037262)",residential,Sunnybank Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6966183 53.800191,-1.6976123 53.8018123,-1.6976596 53.8018913,-1.6977316 53.8019653,-1.6978872 53.8020706,-1.6980066 53.8021859,-1.6981148 53.8023237,-1.6982205 53.8024875,-1.6982923 53.8026183,-1.6984277 53.8028506,-1.6984701 53.802925)",residential,Peckover Drive,,,20 mph,,,,asphalt,,,,sign,,,,,,,,,,,,,,
"LINESTRING (-1.699712 53.8026642,-1.6996992 53.8025911)",residential,Daleside Road,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7011656 53.8025573,-1.7012501 53.8025454,-1.7013279 53.8024836)",cycleway,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7043356 53.8018412,-1.7037406 53.8019421,-1.7022564 53.8022515,-1.7018301 53.8023399,-1.7015945 53.8023862,-1.7013968 53.8024262,-1.7011355 53.8024831,-1.6989718 53.8029372)",trunk,Bradford Road,yes,2,40 mph,,A647,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7018301 53.8023399,-1.7018057 53.8023968,-1.7017867 53.8024409,-1.7017867 53.8025074,-1.7018556 53.802561)",tertiary,Gain Lane,,,30 mph,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6996992 53.8025911,-1.7000378 53.8025295,-1.7012106 53.8022864,-1.7016484 53.8022013,-1.7029788 53.801932,-1.7031843 53.8018865,-1.7033332 53.8018388,-1.7034374 53.8017877,-1.7034867 53.8017529,-1.7035553 53.8017044)",path,,yes,,,,,,,designated,designated,,,,yes,,,,,,,,,,,,
"LINESTRING (-1.7036197 53.802032,-1.7034026 53.802073,-1.702319 53.8022884,-1.7018057 53.8023968,-1.701481 53.8024529,-1.7013279 53.8024836)",cycleway,,yes,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.699712 53.8026642,-1.7012421 53.8023424,-1.7016527 53.8022561,-1.7020541 53.8021761,-1.7026367 53.8020689,-1.70304 53.80199,-1.7034018 53.801898,-1.7035668 53.8017898,-1.7036025 53.8017664,-1.7036687 53.8016959,-1.7037509 53.8015364)",trunk,Bradford Road,yes,3,40 mph,,A647,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7012421 53.8023424,-1.7012106 53.8022864,-1.7009983 53.8019086,-1.7007604 53.8015489,-1.7007541 53.8015021,-1.7008365 53.8014646,-1.7016802 53.8012323,-1.7019467 53.8011668,-1.7020838 53.8011528,-1.7022226 53.8011387,-1.7034501 53.8011256,-1.7038586 53.8011361,-1.7040037 53.8011398)",residential,Grange Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7034568 53.8037262,-1.7031311 53.8044901)",residential,Sunnybank Grove,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7044417 53.8026138,-1.7039272 53.803179)",residential,Woodhall View,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7051636 53.8031432,-1.704879 53.8034688)",residential,Knightsway Court,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7061536 53.8025517,-1.7055087 53.8036616)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7069051 53.8033959,-1.7073417 53.8034847,-1.7081448 53.8036755,-1.7083798 53.803711,-1.7085437 53.8037191,-1.7087295 53.8037094,-1.7089351 53.8036742,-1.7091364 53.8036313,-1.709735 53.8034883)",residential,Boyd Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7065837 53.8025047,-1.7069654 53.8025815,-1.7073336 53.802656,-1.7076746 53.8027308,-1.7077401 53.8027649,-1.7077454 53.8028113,-1.7073417 53.8034847)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7044601 53.8018138,-1.7046337 53.8021105,-1.7047612 53.8023469,-1.7048669 53.8025679,-1.7049792 53.8027866)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7080399 53.8014378,-1.7075697 53.8015372,-1.7071131 53.801613,-1.7046337 53.8021105,-1.7026415 53.8025022,-1.7027491 53.802689)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7049792 53.8027866,-1.7061536 53.8025517,-1.7066075 53.8024635)",residential,Woodhall Place,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.706765 53.802202,-1.7048669 53.8025679)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7047612 53.8023469,-1.7069409 53.8019127)",residential,Woodhall Terrace,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7072915 53.8012763,-1.7071131 53.801613,-1.7069409 53.8019127,-1.706765 53.802202,-1.7066075 53.8024635,-1.7065837 53.8025047,-1.7058532 53.8037704)",residential,Woodhall Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7062115 53.8038843,-1.7069654 53.8025815,-1.7075697 53.8015372)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7080566 53.8011233,-1.7081232 53.8012811,-1.7080399 53.8014378,-1.7079399 53.8016259,-1.7074203 53.8025063,-1.7073336 53.802656,-1.7069051 53.8033959,-1.7065584 53.8039946)",residential,Woodhall Road,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7086995 53.8028748,-1.7079289 53.8026936,-1.7078161 53.8025946,-1.7074203 53.8025063)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.679347 53.8060389,-1.6793573 53.8059726,-1.6794668 53.8052647,-1.6794847 53.8052104)",residential,Carlisle Street,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6798105 53.8051659,-1.6796969 53.8058575,-1.6796717 53.8060105,-1.6796615 53.8060728)",residential,Ruskin Street,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6710239 53.8051497,-1.6711894 53.8051043,-1.6716654 53.8051585,-1.6723581 53.8052346,-1.6732211 53.8053173,-1.6738731 53.8053913,-1.6740321 53.8054091,-1.6744146 53.8054504,-1.6748068 53.8054811,-1.6750396 53.8055121,-1.6753706 53.8055546,-1.6761408 53.8056402,-1.6764195 53.8056686,-1.6769848 53.8057335,-1.6772524 53.8057592,-1.6783904 53.8058569,-1.6788993 53.8059192,-1.6793573 53.8059726,-1.6796717 53.8060105,-1.680655 53.806114,-1.6816374 53.8062167,-1.6818645 53.8062119,-1.6828836 53.8060363,-1.6831855 53.8059477)",cycleway,,yes,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6834134 53.8061473,-1.6831345 53.8061378,-1.6828354 53.8061739,-1.6825109 53.8062483,-1.6823055 53.8062809,-1.6819141 53.8063215,-1.6814876 53.8063263,-1.6807318 53.806253,-1.6802954 53.8061992,-1.6792127 53.8060895,-1.6787367 53.8060282,-1.6781259 53.8059616,-1.6777465 53.8059222,-1.6768903 53.8058258,-1.676626 53.8057985,-1.6761903 53.8057577,-1.6761285 53.8057511,-1.6752954 53.8056622,-1.6748076 53.8056076,-1.6744924 53.8055723,-1.6732654 53.8054485,-1.6726632 53.8053823,-1.6725421 53.805369,-1.6716788 53.8052777,-1.6712619 53.8052299,-1.6711308 53.8052142,-1.6710884 53.8051886,-1.6710239 53.8051497)",cycleway,,yes,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6808136 53.8052162,-1.6807022 53.8059129,-1.680655 53.806114,-1.6806409 53.806174)",residential,Woodlands Terrace,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6713818 53.8013527,-1.6725117 53.8014391,-1.6744641 53.8016631,-1.6751242 53.8017537,-1.6761193 53.8019351,-1.6773306 53.8021822,-1.678523 53.8024935,-1.6797449 53.8029433,-1.6807102 53.8034053,-1.6807514 53.803425,-1.6816342 53.8039685,-1.6822365 53.8044116,-1.6825846 53.8047103,-1.682723 53.8048331)",trunk,Stanningley Bypass,yes,2,70 mph,,A647,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6791693 53.8054063,-1.6784753 53.8053659,-1.6777402 53.8053208,-1.6776501 53.805224,-1.6776938 53.8049496)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6804208 53.8051965,-1.680314 53.8058705)",service,Back Woodlands Terrace,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6794847 53.8052104,-1.6795678 53.8051666,-1.6797548 53.8051631,-1.6798105 53.8051659,-1.6804208 53.8051965,-1.6808136 53.8052162,-1.6812597 53.8052387,-1.6817439 53.805263,-1.6821146 53.805252)",residential,Woodlands Road,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6813026 53.8044065,-1.6811122 53.8042261,-1.6810483 53.8041911,-1.6809068 53.8041137,-1.6807165 53.8040249,-1.6805762 53.8039687,-1.6803357 53.8039865,-1.6791525 53.8041657,-1.6793409 53.8046272,-1.6807996 53.8044497,-1.6807395 53.8043148,-1.6809599 53.8042651,-1.6811122 53.8042261)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.680314 53.8058705,-1.6807022 53.8059129,-1.6811572 53.8059588,-1.6816612 53.8060076)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6811572 53.8059588,-1.6812597 53.8052387)",service,Back Woodlands Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6827003 53.8058549,-1.6816574 53.8060378)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6816309 53.8062749,-1.6816374 53.8062167,-1.6816574 53.8060378,-1.6816612 53.8060076,-1.6816907 53.8057764,-1.681716 53.8055323,-1.6817439 53.805263)",residential,Woodlands Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6825037 53.805641,-1.6816907 53.8057764)",residential,Woodlands Grove,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6828708 53.806116,-1.6826987 53.8061391,-1.6824174 53.8061889,-1.6821705 53.806223)",secondary,Bradford Road,,,30 mph,,B6157,,asphalt,,,,,,,2,1,,,,,,,,,"left;through|through;right",
"LINESTRING (-1.682293 53.8054303,-1.681716 53.8055323)",service,Back Woodlands Grove,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6817679 53.8049002,-1.6818435 53.804981)",unclassified,Owlcotes Lane,yes,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6815679 53.8046796,-1.6808958 53.8047612,-1.6808618 53.8049111)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6813026 53.8044065,-1.6815254 53.8046343)",unclassified,Owlcotes Lane,,1,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6813026 53.8044065,-1.6811723 53.8044355,-1.6810601 53.8044048,-1.6809599 53.8042651)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6815254 53.8046343,-1.6815679 53.8046796,-1.6817679 53.8049002)",unclassified,Owlcotes Lane,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6818435 53.804981,-1.6821146 53.805252,-1.682293 53.8054303,-1.6823695 53.8055069,-1.6825037 53.805641,-1.6827003 53.8058549,-1.6828371 53.8060026,-1.6828836 53.8060363,-1.682948 53.8060653,-1.6830292 53.8060705)",unclassified,Owlcotes Lane,yes,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6826508 53.8054189,-1.6823695 53.8055069)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6830057 53.8056943,-1.6826999 53.8054436,-1.6826508 53.8054189,-1.6825218 53.8053542,-1.6822694 53.8051788)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6829091 53.805199,-1.68233 53.8049743,-1.681966 53.8048556,-1.6817679 53.8049002)",unclassified,,yes,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6953524 53.8016989,-1.6952734 53.8017005,-1.6945303 53.8017155,-1.6942798 53.8018054)",service,,,,,,,,,,,,,private,,,,,,,,,,,,,
"LINESTRING (-1.7009983 53.8019086,-1.7014075 53.801828)",residential,Grange View,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7034867 53.8017529,-1.7035668 53.8017898,-1.7036428 53.8018248,-1.7037469 53.8018467)",cycleway,,,,,,,,,,,,,,,,,,traffic_signals,toucan,crossing,,,,,,
"LINESTRING (-1.7036197 53.802032,-1.7037124 53.8020131,-1.7037406 53.8019421,-1.7037558 53.8019024,-1.7037469 53.8018467)",cycleway,,,,,,,,,,,,,,,,,,traffic_signals,toucan,crossing,,,,,,
"LINESTRING (-1.7037469 53.8018467,-1.7038385 53.8017667,-1.7038892 53.8017467,-1.7039504 53.8017243)",cycleway,,,,,,,,,,,,,,,,,,traffic_signals,toucan,crossing,,,,,,
"LINESTRING (-1.7043356 53.8018412,-1.7040827 53.8018294,-1.7039624 53.8017926,-1.7038892 53.8017467,-1.7038234 53.8016777,-1.7037509 53.8015364)",trunk,Leeds Road,yes,1,30 mph,,A647,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.704856 53.8017398,-1.7044601 53.8018138,-1.7043356 53.8018412)",trunk,Leeds Road,yes,3,30 mph,,A647,through|through|right,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7069191 53.8010902,-1.7067375 53.8012644,-1.706647 53.8013421,-1.7064179 53.8014455,-1.7058683 53.8015505,-1.704856 53.8017398)",trunk,Leeds Road,yes,2,30 mph,,A647,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7013279 53.8024836,-1.7017008 53.8025755,-1.7024974 53.802802,-1.7035756 53.8031204,-1.7041469 53.8033057,-1.7049999 53.8035702,-1.7064027 53.8039963,-1.7065762 53.80405,-1.7075936 53.8043115,-1.7090044 53.8045776,-1.7109128 53.804902,-1.7116594 53.8050159,-1.7121024 53.8050972,-1.7132772 53.8052983,-1.715439 53.8056499,-1.7180461 53.8060681,-1.7180764 53.8060301,-1.7181212 53.8059667,-1.7190241 53.806119,-1.7190675 53.8061177,-1.7191136 53.8061121,-1.7191622 53.8061139,-1.7192403 53.806121)",cycleway,,,,,,,,asphalt,yes,,no,,,yes,,,,,,,,,,yes,,
"LINESTRING (-1.708741 53.8044827,-1.7091482 53.8040498,-1.7091966 53.8039606,-1.7092137 53.803853,-1.709171 53.8037016,-1.7091364 53.8036313,-1.7089915 53.8034544,-1.7088947 53.8033602,-1.7087551 53.8032811,-1.7085501 53.8032021,-1.7083194 53.8031482,-1.7081115 53.8030995)",residential,Gwynne Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7082061 53.8016767,-1.7086041 53.8017717,-1.7087602 53.8018445,-1.7088352 53.8018866)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7079399 53.8016259,-1.7082061 53.8016767,-1.7079862 53.8020063,-1.7086554 53.8021636,-1.7089782 53.8022363,-1.7090937 53.8022475,-1.7091428 53.8021852,-1.7091765 53.802119,-1.7088352 53.8018866,-1.7089652 53.8018395,-1.7090655 53.8017957,-1.7093171 53.801955,-1.7093342 53.8019658,-1.7097559 53.8022448,-1.7098604 53.8022831,-1.7097565 53.8020793,-1.7093508 53.8012832,-1.7090951 53.8013335,-1.7090268 53.8012864,-1.708995 53.8012301,-1.7088467 53.8009653)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7090655 53.8017957,-1.7087174 53.8015577,-1.7085639 53.8012664,-1.7087577 53.8012456,-1.7088558 53.8012619,-1.708995 53.8012301)",service,,yes,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7090655 53.8017957,-1.7088432 53.8013496,-1.7088457 53.8013006,-1.7088558 53.8012619)",service,,yes,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7090951 53.8013335,-1.7093994 53.8018757,-1.7094094 53.8019174,-1.7093843 53.8019396,-1.7093171 53.801955)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7113075 53.8021742,-1.7105028 53.8023275)",service,,,,,parking_aisle,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7111372 53.8018535,-1.7106343 53.8019452,-1.7101379 53.8020358)",service,,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.7118738 53.8012095,-1.7118407 53.8012409,-1.7117567 53.8012671,-1.7115183 53.8012788,-1.7109064 53.8013881,-1.7104101 53.8014864,-1.7100055 53.8015666,-1.7099236 53.8016499,-1.7101379 53.8020358,-1.7102648 53.8022644,-1.7102642 53.8023316,-1.710203 53.8023936,-1.7098765 53.8025195,-1.7095797 53.8026103,-1.709442 53.8027027)",service,,,,,,,,concrete,,,,,,,,,,,,,,,,,,
