WKT,highway,name,oneway,lanes,maxspeed,service,ref,turn:lanes,surface,foot,bicycle,horse,maxspeed:type,access,segregated,lanes:backward,lanes:forward,junction,crossing,crossing_ref,cycleway,route,route_name,route_pref_color,lit,turn:lanes:backward,turn:lanes:forward
"LINESTRING (-1.6853564 53.8040764,-1.6861855 53.8037411,-1.6870784 53.8033856,-1.6874356 53.8032403,-1.6876185 53.8031137,-1.6877887 53.8029126,-1.6880991 53.802549,-1.6881721 53.8024795,-1.6882575 53.8024218,-1.6884794 53.8023149,-1.6885315 53.8023059,-1.6885752 53.8023121,-1.6886169 53.8023289,-1.6888951 53.8025552,-1.6889172 53.8026446,-1.6881197 53.8029927,-1.688003 53.8029852,-1.6877887 53.8029126)",residential,The Fairway,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6875843 53.8039652,-1.6893617 53.8031933,-1.690068 53.8028803,-1.6901334 53.8028647,-1.6902008 53.8028624)",residential,Ederoyd Avenue,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.692377 53.8042881,-1.6921771 53.8043245,-1.6897007 53.8048136,-1.688024 53.8051452,-1.68705 53.805334,-1.6859365 53.8055496)",trunk,Bradford Road,yes,3,40 mph,,A647,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6919677 53.8050273,-1.6915556 53.8052123,-1.6912788 53.8053857)",residential,Westmead,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6905916 53.8045156,-1.6920876 53.8042283,-1.6921845 53.8042052,-1.6922272 53.804195,-1.6924629 53.8041519)",trunk,Bradford Road,yes,3,40 mph,,A647,"left;through|through|through",asphalt,yes,yes,yes,,,,,,,,,,,,,,,
"LINESTRING (-1.6902008 53.8028624,-1.6902605 53.8028708,-1.6903041 53.8028865,-1.6903402 53.8029111,-1.690739 53.8033195,-1.691057 53.803648,-1.6910694 53.8036817,-1.6910628 53.8037137,-1.6910409 53.8037439,-1.6910059 53.8037652,-1.690967 53.8037781,-1.6901223 53.8039497,-1.687942 53.8043835)",residential,Ederoyd Crescent,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6901223 53.8039497,-1.6893617 53.8031933)",residential,Ederoyd Mount,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.690739 53.8033195,-1.69168 53.8029974)",residential,Ederoyd Rise,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6899465 53.8012843,-1.6895411 53.8014357,-1.6893362 53.80158,-1.6892101 53.8016986,-1.6892535 53.8017475,-1.6892298 53.8017847,-1.6891668 53.8017987,-1.6891035 53.8017917,-1.6890761 53.8017638,-1.6890761 53.8017242,-1.6891195 53.801701,-1.6892101 53.8016986)",residential,Thorne Close,,,,,,,,,,,,,,,,,,,,,,,,,
"LINESTRING (-1.6924238 53.8037172,-1.691838 53.8031503,-1.69168 53.8029974,-1.6910654 53.8023791,-1.6907827 53.8020951,-1.6902288 53.8015705,-1.690009 53.801344,-1.6899465 53.8012843,-1.689382 53.8007238,-1.6893363 53.8006821,-1.6892958 53.8006425,-1.68926 53.8006083,-1.6892022 53.8005515,-1.6887038 53.8001063,-1.6886192 53.8000039,-1.6885632 53.7999173)",secondary,Galloway Lane,,,30 mph,,B6154,,,,,,,,,,,,,,,,,,,,
